"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.645470999E0,6.508784093E1,2.538442266E1,-3.591315542E1,0.000000000E0,NaN,4.800000000E1,1.673374786E2
2.665613844E0,6.508801898E1,2.538538926E1,1.147789130E1,1.212003708E0,8.734480286E1,2.400000000E1,4.072319031E1
3.692959036E0,6.508799415E1,2.538540231E1,8.496389013E0,1.304718137E0,1.049060364E2,8.000000000E0,1.154822159E1
4.725022689E0,6.508799863E1,2.538542054E1,9.205536658E0,1.251322746E0,1.075126495E2,6.000000000E0,8.462469101E0
5.699304457E0,6.508799123E1,2.538544294E1,6.103696382E0,1.228373766E0,1.150187988E2,6.000000000E0,7.712236404E0
6.709052457E0,6.508798407E1,2.538547025E1,5.042931596E0,1.244583964E0,1.341104736E2,6.000000000E0,6.971380234E0
7.689858687E0,6.508797185E1,2.538548625E1,4.082767948E0,1.290221095E0,1.541742096E2,6.000000000E0,6.496605396E0
8.707794955E0,6.508795832E1,2.538550109E1,3.782509192E0,1.346971512E0,1.520911407E2,4.000000000E0,6.187410831E0
9.694156455E0,6.508794254E1,2.538551503E1,2.854155105E0,1.398139596E0,1.528555298E2,4.000000000E0,5.866440773E0
1.071228811E1,6.508792801E1,2.538552668E1,2.224926504E0,1.407881141E0,1.552196503E2,4.000000000E0,5.657711983E0
1.170661380E1,6.508791607E1,2.538553402E1,2.086152185E0,1.404011488E0,1.551657104E2,4.000000000E0,5.519625187E0
1.270445765E1,6.508790338E1,2.538554595E1,2.220936201E0,1.415815949E0,1.554473419E2,6.000000000E0,5.423612118E0
1.371049003E1,6.508788994E1,2.538556163E1,1.678343889E0,1.429854393E0,1.557246857E2,6.000000000E0,5.350234985E0
1.470302072E1,6.508787802E1,2.538557598E1,1.162228257E0,1.437735796E0,1.483008118E2,6.000000000E0,5.240559578E0
1.569963549E1,6.508786659E1,2.538559334E1,7.774690557E-1,1.438108683E0,1.540665894E2,6.000000000E0,5.140387058E0
1.669864249E1,6.508785423E1,2.538561226E1,5.123078874E-1,1.466760397E0,1.554115906E2,6.000000000E0,5.055851936E0
1.769662668E1,6.508784284E1,2.538563746E1,1.840166923E-1,1.496062994E0,1.530095215E2,6.000000000E0,4.984317303E0
1.869518279E1,6.508782902E1,2.538565598E1,-8.510465930E-2,1.499382019E0,1.529532623E2,6.000000000E0,4.935972214E0
1.970762002E1,6.508781739E1,2.538566902E1,-2.050471988E-1,1.480081320E0,1.579567719E2,6.000000000E0,4.893127441E0
2.070195579E1,6.508780335E1,2.538568739E1,-7.450465981E-1,1.488862634E0,1.625688477E2,6.000000000E0,4.843106270E0
2.168758187E1,6.508778987E1,2.538569563E1,-9.491914424E-1,1.469507337E0,1.640519104E2,6.000000000E0,4.787499905E0
2.268873064E1,6.508777987E1,2.538570827E1,-7.758580737E-1,1.406322718E0,1.694952545E2,6.000000000E0,4.732628345E0
2.372093960E1,6.508776931E1,2.538572324E1,-1.045445461E0,1.379058361E0,1.831656952E2,6.000000000E0,4.683294773E0
2.470421402E1,6.508775667E1,2.538572411E1,-1.733449355E0,1.409138322E0,1.948083344E2,6.000000000E0,4.662832737E0
2.570909025E1,6.508774126E1,2.538571264E1,-2.377575232E0,1.460149527E0,1.914869537E2,6.000000000E0,4.661633015E0
2.669990490E1,6.508772895E1,2.538571581E1,-2.776959349E0,1.450706482E0,1.763486633E2,6.000000000E0,4.680127144E0
2.768894671E1,6.508771996E1,2.538571726E1,-2.960051813E0,1.409671545E0,1.797763824E2,6.000000000E0,4.669040203E0
2.870382975E1,6.508771060E1,2.538572125E1,-2.587899860E0,1.370647430E0,1.782079010E2,6.000000000E0,4.750277519E0
2.970428829E1,6.508770044E1,2.538572509E1,-2.408134060E0,1.348484993E0,1.801944122E2,6.000000000E0,4.839686871E0
3.069806863E1,6.508768961E1,2.538572832E1,-2.204783539E0,1.336839676E0,1.796126862E2,6.000000000E0,4.938491821E0
3.169419375E1,6.508767846E1,2.538573260E1,-2.292681170E0,1.318722963E0,1.783808746E2,6.000000000E0,5.028605461E0
3.269806959E1,6.508767229E1,2.538575072E1,-2.243116230E0,1.293771744E0,1.681700287E2,6.000000000E0,5.097975254E0
3.368730205E1,6.508766365E1,2.538576320E1,-2.113311395E0,1.276401520E0,1.653521118E2,6.000000000E0,5.178793907E0
3.468654598E1,6.508765249E1,2.538577825E1,-2.074136469E0,1.281608939E0,1.646548920E2,6.000000000E0,5.247505665E0
3.569550167E1,6.508764682E1,2.538579787E1,-2.098797601E0,1.262709618E0,1.644684143E2,6.000000000E0,5.292188168E0
3.669427044E1,6.508763934E1,2.538581637E1,-1.657571295E0,1.252826571E0,1.642518005E2,6.000000000E0,5.329372406E0
3.769639855E1,6.508762882E1,2.538584783E1,-1.551883914E0,1.292622328E0,1.557629852E2,6.000000000E0,5.378197670E0
3.870612228E1,6.508761620E1,2.538588475E1,-1.395513264E0,1.356430292E0,1.488736572E2,6.000000000E0,5.244175911E0
3.969792047E1,6.508760142E1,2.538592541E1,-1.139257489E0,1.438125610E0,1.535368195E2,6.000000000E0,5.091567993E0
4.071361720E1,6.508758865E1,2.538598232E1,-4.334924600E-1,1.092244387E0,1.532024689E2,6.000000000E0,4.843956947E0
4.169708232E1,6.508757511E1,2.538601783E1,-2.354006417E-1,1.529845476E0,1.389719696E2,6.000000000E0,4.606222630E0
4.269933766E1,6.508755818E1,2.538604410E1,-6.366803156E-1,1.710340977E0,1.488921051E2,6.000000000E0,4.422593117E0
4.369695747E1,6.508754288E1,2.538606879E1,-1.079474299E0,1.755311370E0,1.468154602E2,6.000000000E0,4.270887375E0
4.469985654E1,6.508752688E1,2.538608339E1,-1.104294076E0,1.754432917E0,1.501376648E2,6.000000000E0,4.135357380E0
4.570912481E1,6.508750682E1,2.538610718E1,-4.992060846E-1,1.856714725E0,1.521840515E2,6.000000000E0,3.989825010E0
4.669186566E1,6.508749410E1,2.538612321E1,-5.996533703E-2,1.777474761E0,1.565544739E2,6.000000000E0,3.859590769E0
4.769242693E1,6.508748025E1,2.538614091E1,1.389668564E-1,1.748656511E0,1.520978241E2,6.000000000E0,3.755009651E0
4.870930966E1,6.508746416E1,2.538615746E1,-1.687626579E-1,1.754401207E0,1.554705048E2,4.000000000E0,3.669062138E0
4.970504220E1,6.508744902E1,2.538616518E1,-5.362077970E-1,1.729438901E0,1.646282806E2,4.000000000E0,3.565706253E0
5.070221492E1,6.508743395E1,2.538618397E1,-5.364238085E-2,1.728415132E0,1.600684509E2,4.000000000E0,3.477322102E0
5.170357819E1,6.508742446E1,2.538620814E1,1.983640442E-1,1.687346458E0,1.489970551E2,4.000000000E0,3.398731470E0
5.269039473E1,6.508740925E1,2.538624618E1,6.638847450E-1,1.750261784E0,1.484080658E2,4.000000000E0,3.278458595E0
5.370576050E1,6.508739567E1,2.538627526E1,1.037755401E0,1.765605450E0,1.430418091E2,4.000000000E0,3.142791510E0
5.470174892E1,6.508738241E1,2.538630787E1,9.273398986E-1,1.785099864E0,1.405683594E2,4.000000000E0,3.017811060E0
5.571028761E1,6.508737105E1,2.538633170E1,8.341637541E-1,1.760685921E0,1.467628632E2,4.000000000E0,3.000000000E0
5.671052304E1,6.508736063E1,2.538634636E1,9.018677631E-1,1.716510177E0,1.476761322E2,4.000000000E0,3.000000000E0
5.770517004E1,6.508734724E1,2.538636355E1,8.596689843E-1,1.704757810E0,1.469657898E2,4.000000000E0,3.000000000E0
5.869561034E1,6.508733706E1,2.538637638E1,7.855092944E-1,1.662080050E0,1.449495087E2,4.000000000E0,3.000000000E0
5.969285076E1,6.508732736E1,2.538639025E1,9.270428499E-1,1.622533798E0,1.445133667E2,4.000000000E0,3.000000000E0
6.071136173E1,6.508731386E1,2.538641167E1,9.530609228E-1,1.632554531E0,1.471506653E2,4.000000000E0,3.000000000E0
6.169649180E1,6.508730110E1,2.538642810E1,8.397348570E-1,1.632972956E0,1.489128571E2,4.000000000E0,3.000000000E0
6.269642811E1,6.508728677E1,2.538644962E1,9.355091885E-1,1.656720281E0,1.478946686E2,4.000000000E0,3.000000000E0
6.369635534E1,6.508727510E1,2.538647173E1,1.020781541E0,1.656678796E0,1.487458954E2,4.000000000E0,3.000000000E0
6.469436299E1,6.508726462E1,2.538647594E1,9.477512817E-1,1.617559910E0,1.672085571E2,4.000000000E0,3.000000000E0
6.570373618E1,6.508725423E1,2.538647350E1,9.064031739E-1,1.581026912E0,1.814670105E2,4.000000000E0,3.000000000E0
6.669602541E1,6.508724457E1,2.538646402E1,8.315269170E-1,1.545739532E0,1.926524048E2,4.000000000E0,3.000000000E0
6.769565480E1,6.508723514E1,2.538645333E1,7.520160991E-1,1.512801170E0,2.066784668E2,4.000000000E0,3.000000000E0
6.869068507E1,6.508722721E1,2.538642681E1,7.817542559E-1,1.509465694E0,2.192845001E2,4.000000000E0,3.000000000E0
6.969262864E1,6.508722136E1,2.538639778E1,8.210970696E-1,1.506179094E0,2.261110382E2,4.000000000E0,3.000000000E0
7.068091760E1,6.508721492E1,2.538636950E1,9.054685052E-1,1.497496843E0,2.273262939E2,4.000000000E0,3.000000000E0
7.170088006E1,6.508721115E1,2.538634447E1,7.129079308E-1,1.465647459E0,2.293816528E2,4.000000000E0,3.000000000E0
7.270158349E1,6.508720590E1,2.538632321E1,5.368479370E-1,1.425496817E0,2.310548859E2,4.000000000E0,3.000000000E0
7.369869779E1,6.508720294E1,2.538630460E1,5.336781517E-1,1.375342727E0,2.361790619E2,4.000000000E0,3.000000000E0
7.470276175E1,6.508719837E1,2.538628347E1,-1.446749039E-1,1.348705769E0,2.317493896E2,4.000000000E0,3.000000000E0
7.569693325E1,6.508719383E1,2.538626020E1,-1.835227549E-1,1.332862377E0,2.373958435E2,4.000000000E0,3.046568632E0
7.669841841E1,6.508718831E1,2.538623081E1,5.289454985E-3,1.349241495E0,2.379989777E2,6.000000000E0,3.227935791E0
7.768459683E1,6.508717826E1,2.538619871E1,-1.073598503E-1,1.402379990E0,2.333263855E2,6.000000000E0,3.397394419E0
7.869420717E1,6.508716715E1,2.538614979E1,6.032839223E-1,1.502870917E0,2.361094971E2,6.000000000E0,3.540261984E0
7.968652587E1,6.508715788E1,2.538611284E1,9.407426814E-1,1.541040659E0,2.361424866E2,6.000000000E0,3.684634924E0
8.071674260E1,6.508715147E1,2.538608788E1,-1.556401820E-1,1.530144453E0,2.305644531E2,4.000000000E0,3.678975582E0
8.169270156E1,6.508713770E1,2.538605520E1,-2.669705583E-2,1.577115774E0,2.273530731E2,4.000000000E0,3.685613871E0
8.269695913E1,6.508712944E1,2.538602621E1,3.314016112E-1,1.578184247E0,2.329509735E2,4.000000000E0,3.717537165E0
8.370575790E1,6.508712269E1,2.538599671E1,6.816019117E-1,1.579721332E0,2.357555084E2,4.000000000E0,3.740157604E0
8.470904244E1,6.508711469E1,2.538596218E1,9.329157034E-1,1.602265954E0,2.350614319E2,4.000000000E0,3.771352530E0
8.569388640E1,6.508710575E1,2.538592706E1,1.330856350E0,1.623358011E0,2.355868378E2,4.000000000E0,3.800976515E0
8.670262386E1,6.508709801E1,2.538589834E1,1.405008488E0,1.621437430E0,2.356642609E2,4.000000000E0,3.811577320E0
8.770243875E1,6.508708772E1,2.538586051E1,1.128515477E0,1.661051035E0,2.376993561E2,4.000000000E0,3.803329706E0
8.868903994E1,6.508707840E1,2.538582590E1,9.694508659E-1,1.678040862E0,2.374383240E2,4.000000000E0,3.815208673E0
8.971568332E1,6.508707146E1,2.538579680E1,7.332491070E-1,1.671608925E0,2.363017883E2,4.000000000E0,3.810380936E0
9.070445401E1,6.508706053E1,2.538576104E1,1.150656033E0,1.702380538E0,2.336843262E2,4.000000000E0,3.778457642E0
9.170390359E1,6.508705178E1,2.538573047E1,7.857568882E-1,1.703998685E0,2.333517761E2,4.000000000E0,3.755213737E0
9.268861736E1,6.508704462E1,2.538570166E1,9.202901771E-1,1.692963839E0,2.347177277E2,4.000000000E0,3.714601994E0
9.369788420E1,6.508703789E1,2.538568159E1,1.018511317E0,1.653306723E0,2.342373199E2,4.000000000E0,3.668504000E0
9.469558709E1,6.508702975E1,2.538565345E1,1.100062542E0,1.641742945E0,2.327785339E2,4.000000000E0,3.642472982E0
9.568816116E1,6.508702167E1,2.538562909E1,1.086079687E0,1.622843385E0,2.318589172E2,4.000000000E0,3.608134747E0
9.669078997E1,6.508701242E1,2.538560361E1,1.491175561E0,1.612936974E0,2.309991608E2,4.000000000E0,3.570520401E0
9.770146301E1,6.508700603E1,2.538558070E1,1.666445795E0,1.573473215E0,2.332945862E2,4.000000000E0,3.567242622E0
9.870774043E1,6.508700393E1,2.538557236E1,9.734156754E-1,1.481318712E0,2.335871124E2,4.000000000E0,3.578091145E0
9.970917912E1,6.508699446E1,2.538555047E1,7.842863787E-1,1.473381758E0,2.327356110E2,4.000000000E0,3.586086035E0
1.007116878E2,6.508698611E1,2.538552935E1,1.006525417E0,1.453274131E0,2.305595398E2,4.000000000E0,3.595495701E0
1.016915726E2,6.508697918E1,2.538551136E1,7.060995237E-1,1.425209045E0,2.236866913E2,4.000000000E0,3.615228891E0
1.027053768E2,6.508696676E1,2.538548738E1,7.270042087E-1,1.453114510E0,2.219508362E2,4.000000000E0,3.638550043E0
1.036970162E2,6.508695361E1,2.538546486E1,9.873570479E-1,1.475914717E0,2.204290924E2,4.000000000E0,3.664788008E0
1.047142437E2,6.508694469E1,2.538544865E1,7.732087211E-1,1.457249165E0,2.184433594E2,4.000000000E0,3.687431574E0
1.057015358E2,6.508693239E1,2.538542588E1,1.198977104E0,1.481057763E0,2.181658630E2,4.000000000E0,3.687197447E0
1.067009541E2,6.508691806E1,2.538540257E1,1.317619497E0,1.516607046E0,2.180005646E2,4.000000000E0,3.664044142E0
1.077069171E2,6.508690503E1,2.538537713E1,1.150906370E0,1.549047112E0,2.152371979E2,4.000000000E0,3.651312828E0
1.087095532E2,6.508689085E1,2.538534647E1,6.578414538E-1,1.597742438E0,2.150852203E2,4.000000000E0,3.632475853E0
1.096943210E2,6.508687764E1,2.538531805E1,5.802880365E-1,1.623911142E0,2.197802582E2,4.000000000E0,3.587733030E0
1.106990019E2,6.508686661E1,2.538529784E1,8.207726156E-1,1.617863655E0,2.203772430E2,4.000000000E0,3.564441681E0
1.117041420E2,6.508685404E1,2.538527443E1,1.083648550E0,1.631061554E0,2.208562775E2,4.000000000E0,3.551922321E0
1.126974218E2,6.508684099E1,2.538524687E1,1.090480663E0,1.656131029E0,2.223860168E2,4.000000000E0,3.516194820E0
1.137035312E2,6.508683043E1,2.538522670E1,9.442886967E-1,1.644020557E0,2.200407410E2,4.000000000E0,3.480030060E0
1.146895526E2,6.508681808E1,2.538520620E1,1.518611714E0,1.644390821E0,2.164947205E2,4.000000000E0,3.291336060E0
1.157024814E2,6.508680588E1,2.538518482E1,1.518871489E0,1.646172523E0,2.156455536E2,4.000000000E0,3.228286266E0
1.166930809E2,6.508679175E1,2.538516146E1,1.592108014E0,1.671058059E0,2.148126373E2,4.000000000E0,3.168780565E0
1.176868027E2,6.508677589E1,2.538513263E1,1.599874780E0,1.715693235E0,2.150599670E2,4.000000000E0,3.137500525E0
1.186924814E2,6.508676154E1,2.538511258E1,1.715766744E0,1.726030350E0,2.136568756E2,4.000000000E0,3.116925478E0
1.196910764E2,6.508674879E1,2.538509566E1,1.772538784E0,1.720431805E0,2.130584869E2,4.000000000E0,3.101423025E0
1.207028602E2,6.508673534E1,2.538507959E1,1.827431147E0,1.714215994E0,2.112137909E2,4.000000000E0,3.093805313E0
1.216934378E2,6.508672370E1,2.538506961E1,1.782133422E0,1.685264468E0,2.093103485E2,4.000000000E0,3.093518972E0
1.226987579E2,6.508671264E1,2.538505513E1,1.837376948E0,1.660977125E0,2.053157043E2,4.000000000E0,3.077473640E0
1.237052786E2,6.508670150E1,2.538504068E1,1.939171843E0,1.637965798E0,2.054542694E2,4.000000000E0,3.000000000E0
1.246916386E2,6.508668964E1,2.538502217E1,2.107458411E0,1.630662203E0,2.093819580E2,4.000000000E0,3.000000000E0
1.256909351E2,6.508667644E1,2.538500894E1,1.763388331E0,1.626828551E0,2.090816193E2,4.000000000E0,3.000000000E0
1.267028739E2,6.508666202E1,2.538499115E1,1.810754377E0,1.634131789E0,2.083851776E2,4.000000000E0,3.000000000E0
1.276953780E2,6.508665203E1,2.538497993E1,1.702883924E0,1.592038870E0,2.114852905E2,4.000000000E0,3.000000000E0
1.286883193E2,6.508664333E1,2.538495960E1,1.861633169E0,1.567809582E0,2.158240662E2,4.000000000E0,3.000000000E0
1.296971018E2,6.508663434E1,2.538492608E1,2.066197304E0,1.589552402E0,2.152194519E2,4.000000000E0,3.000000000E0
1.306858915E2,6.508662052E1,2.538490221E1,2.074147829E0,1.608785033E0,2.213068542E2,4.000000000E0,3.000000000E0
1.316944677E2,6.508661502E1,2.538487658E1,1.849991067E0,1.590718865E0,2.345210724E2,4.000000000E0,3.000000000E0
1.326879801E2,6.508661582E1,2.538483424E1,1.890300387E0,1.622035265E0,2.470922241E2,4.000000000E0,3.000000000E0
1.337012602E2,6.508661858E1,2.538480025E1,1.922569671E0,1.620631933E0,2.667021484E2,4.000000000E0,3.000000000E0
1.346943045E2,6.508662254E1,2.538476355E1,1.960986483E0,1.630322218E0,2.754458618E2,4.000000000E0,3.000000000E0
1.356978915E2,6.508662820E1,2.538472523E1,2.087928389E0,1.649641752E0,2.812953186E2,4.000000000E0,3.000000000E0
1.367046586E2,6.508663251E1,2.538468705E1,2.043915416E0,1.662244320E0,2.828313599E2,4.000000000E0,3.000000000E0
1.376906557E2,6.508663832E1,2.538465046E1,2.039610250E0,1.681120992E0,2.902894897E2,4.000000000E0,3.000000000E0
1.386971295E2,6.508664526E1,2.538459673E1,1.924857404E0,1.751845837E0,2.856210022E2,4.000000000E0,3.000000000E0
1.396944331E2,6.508664915E1,2.538456151E1,2.034401604E0,1.743273377E0,2.875615234E2,4.000000000E0,3.000000000E0
1.407060462E2,6.508665583E1,2.538453284E1,1.396445676E0,1.727541685E0,2.885351868E2,4.000000000E0,3.000000000E0
1.416871244E2,6.508666259E1,2.538449363E1,1.185348274E0,1.740529895E0,2.915348511E2,4.000000000E0,3.000000000E0
1.427073384E2,6.508666547E1,2.538446524E1,9.136973301E-1,1.701260805E0,2.882026062E2,4.000000000E0,3.000000000E0
1.436934559E2,6.508666660E1,2.538444062E1,8.698720533E-1,1.650164366E0,2.876608276E2,4.000000000E0,3.000000000E0
1.446918156E2,6.508667122E1,2.538439823E1,1.653095909E0,1.675278306E0,2.866527405E2,4.000000000E0,3.000000000E0
1.457105788E2,6.508667781E1,2.538436328E1,1.645513963E0,1.676707983E0,2.848541565E2,4.000000000E0,3.000000000E0
1.466998137E2,6.508668023E1,2.538433944E1,1.479368977E0,1.632747054E0,2.864183350E2,4.000000000E0,3.000000000E0
1.477101815E2,6.508668701E1,2.538430822E1,1.208146533E0,1.625087976E0,2.843754883E2,4.000000000E0,3.000000000E0
1.486951686E2,6.508668975E1,2.538428487E1,8.376845011E-1,1.577286243E0,2.871926270E2,4.000000000E0,3.000000000E0
1.496880161E2,6.508669536E1,2.538426035E1,8.596961845E-1,1.552196026E0,2.942415771E2,4.000000000E0,3.000000000E0
