"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.506984356E2,6.508670185E1,2.538422314E1,1.029977967E0,1.572026253E0,2.956831055E2,4.000000000E0,3.000000000E0
1.516992348E2,6.508670980E1,2.538419847E1,1.213119273E0,1.554856062E0,2.990673523E2,4.000000000E0,3.000000000E0
1.526900805E2,6.508671634E1,2.538417295E1,1.547891434E0,1.535785437E0,2.983448792E2,4.000000000E0,3.000000000E0
1.536919268E2,6.508672136E1,2.538414301E1,1.417002260E0,1.524371862E0,2.991420288E2,4.000000000E0,3.000000000E0
1.546919666E2,6.508673023E1,2.538411399E1,1.697906203E0,1.530971050E0,3.030898132E2,4.000000000E0,3.000000000E0
1.556847564E2,6.508673850E1,2.538409255E1,9.426871125E-1,1.515563011E0,3.105706177E2,4.000000000E0,3.000000000E0
1.566864476E2,6.508674924E1,2.538406814E1,9.908187548E-1,1.524926662E0,3.157091675E2,4.000000000E0,3.000000000E0
1.576867843E2,6.508675822E1,2.538404303E1,1.365420260E0,1.524215221E0,3.135830994E2,4.000000000E0,3.000000000E0
1.586948205E2,6.508676721E1,2.538401628E1,1.484416460E0,1.525564313E0,3.141103821E2,4.000000000E0,3.000000000E0
1.596871020E2,6.508677550E1,2.538399339E1,1.448814520E0,1.512444258E0,3.153424072E2,4.000000000E0,3.000000000E0
1.606929740E2,6.508678432E1,2.538397438E1,1.501528058E0,1.490775466E0,3.137660217E2,4.000000000E0,3.000000000E0
1.616845696E2,6.508679023E1,2.538396156E1,1.563348624E0,1.441324234E0,3.134588928E2,4.000000000E0,3.000000000E0
1.626888896E2,6.508679981E1,2.538394207E1,1.574857832E0,1.438753128E0,3.217243347E2,4.000000000E0,3.000000000E0
1.636922911E2,6.508681337E1,2.538391974E1,1.581392948E0,1.466616750E0,3.273485718E2,4.000000000E0,3.000000000E0
1.647152461E2,6.508682552E1,2.538390321E1,1.589012891E0,1.474432349E0,3.185118408E2,4.000000000E0,3.000000000E0
1.657014486E2,6.508683848E1,2.538387785E1,1.626270133E0,1.500355959E0,3.196326599E2,4.000000000E0,3.000000000E0
1.666911681E2,6.508684959E1,2.538386094E1,1.690793158E0,1.494529247E0,3.261754150E2,4.000000000E0,3.000000000E0
1.677114988E2,6.508686002E1,2.538384358E1,1.710640157E0,1.491538048E0,3.250984497E2,4.000000000E0,3.000000000E0
1.686841080E2,6.508687306E1,2.538382371E1,1.561534297E0,1.506753683E0,3.270921936E2,6.000000000E0,3.000000000E0
1.697041561E2,6.508687858E1,2.538379618E1,1.028721361E0,1.493232608E0,3.208429871E2,6.000000000E0,3.000000000E0
1.707007572E2,6.508688686E1,2.538378134E1,9.654685777E-1,1.462893605E0,3.183275757E2,6.000000000E0,3.000000000E0
1.717026425E2,6.508689876E1,2.538375149E1,1.213374560E0,1.491241932E0,3.162793274E2,6.000000000E0,3.000000000E0
1.726928188E2,6.508691093E1,2.538373842E1,1.810648598E0,1.483271837E0,3.358881226E2,6.000000000E0,3.000000000E0
1.736990321E2,6.508692233E1,2.538372262E1,1.723083354E0,1.477325320E0,3.301448059E2,6.000000000E0,3.000000000E0
1.746965835E2,6.508693661E1,2.538370550E1,1.814410283E0,1.495639801E0,3.248659668E2,6.000000000E0,3.000000000E0
1.757083014E2,6.508694906E1,2.538368868E1,1.863247081E0,1.494811416E0,3.210188293E2,6.000000000E0,3.000000000E0
1.767085540E2,6.508695788E1,2.538367652E1,1.733133367E0,1.464577913E0,3.232280884E2,4.000000000E0,3.000000000E0
1.776908481E2,6.508697319E1,2.538366204E1,1.691081253E0,1.491863132E0,3.295791931E2,4.000000000E0,3.000000000E0
1.787043200E2,6.508698746E1,2.538364205E1,2.040909236E0,1.516027331E0,3.330760193E2,4.000000000E0,3.000000000E0
1.796948127E2,6.508700007E1,2.538362706E1,1.831052163E0,1.518201113E0,3.346662292E2,4.000000000E0,3.000000000E0
1.806909018E2,6.508701408E1,2.538360865E1,1.902585077E0,1.535105944E0,3.297439575E2,4.000000000E0,3.000000000E0
1.817025755E2,6.508702828E1,2.538359232E1,1.949888721E0,1.546609759E0,3.314051514E2,4.000000000E0,3.000000000E0
1.826937869E2,6.508704221E1,2.538357674E1,2.373704581E0,1.555840611E0,3.262986755E2,4.000000000E0,3.000000000E0
1.837071548E2,6.508705355E1,2.538355033E1,2.304559542E0,1.567294836E0,3.258893433E2,4.000000000E0,3.000000000E0
1.847020874E2,6.508706308E1,2.538353404E1,2.166385316E0,1.541742086E0,3.255706787E2,4.000000000E0,3.000000000E0
1.856903667E2,6.508707338E1,2.538351609E1,2.077564234E0,1.533576965E0,3.250765686E2,4.000000000E0,3.000000000E0
1.866935312E2,6.508708858E1,2.538349186E1,2.070929454E0,1.569975138E0,3.235110474E2,4.000000000E0,3.000000000E0
1.876957909E2,6.508710101E1,2.538347434E1,1.952124044E0,1.566923857E0,3.267988281E2,4.000000000E0,3.000000000E0
1.887080412E2,6.508711551E1,2.538345784E1,2.194165701E0,1.578811765E0,3.292673950E2,4.000000000E0,3.000000000E0
1.896909805E2,6.508712904E1,2.538343608E1,2.309963420E0,1.594008923E0,3.293120728E2,4.000000000E0,3.000000000E0
1.906998769E2,6.508714030E1,2.538342200E1,2.379925018E0,1.573526859E0,3.302271118E2,4.000000000E0,3.000000000E0
1.917046742E2,6.508714979E1,2.538341161E1,2.260373042E0,1.537992954E0,3.271557312E2,4.000000000E0,3.000000000E0
1.927136370E2,6.508716015E1,2.538339573E1,2.106756837E0,1.522955179E0,3.256661377E2,4.000000000E0,3.000000000E0
1.936907356E2,6.508717206E1,2.538337346E1,1.966071830E0,1.533329010E0,3.306860657E2,4.000000000E0,3.000000000E0
1.947119120E2,6.508718317E1,2.538335672E1,2.045657743E0,1.525385857E0,3.296779175E2,4.000000000E0,3.000000000E0
1.956925354E2,6.508719579E1,2.538334124E1,1.911934941E0,1.524440885E0,3.239625854E2,4.000000000E0,3.000000000E0
1.967062331E2,6.508720867E1,2.538332965E1,1.827171680E0,1.517982841E0,3.299292297E2,4.000000000E0,3.000000000E0
1.977035321E2,6.508721819E1,2.538332225E1,1.813395951E0,1.483142376E0,3.268768616E2,4.000000000E0,3.000000000E0
1.987045360E2,6.508723217E1,2.538330385E1,2.377882646E0,1.502021074E0,3.293431702E2,4.000000000E0,3.000000000E0
1.997034923E2,6.508724508E1,2.538329062E1,2.130482616E0,1.502992630E0,3.471684265E2,4.000000000E0,3.000000000E0
2.007068458E2,6.508725759E1,2.538328106E1,1.969941906E0,1.496377587E0,3.419764099E2,4.000000000E0,3.000000000E0
2.016915674E2,6.508726953E1,2.538327195E1,1.808865514E0,1.482835054E0,3.356465759E2,4.000000000E0,3.000000000E0
2.026965419E2,6.508728026E1,2.538325865E1,1.735441776E0,1.464413643E0,3.373830872E2,4.000000000E0,3.000000000E0
2.037048477E2,6.508729019E1,2.538324485E1,1.980297544E0,1.445147514E0,3.308624573E2,4.000000000E0,3.000000000E0
2.047063010E2,6.508730337E1,2.538322938E1,2.129058166E0,1.452723861E0,3.312434387E2,4.000000000E0,3.000000000E0
2.056929243E2,6.508731307E1,2.538321992E1,1.932817708E0,1.421334982E0,3.326233215E2,4.000000000E0,3.000000000E0
2.066896337E2,6.508731855E1,2.538320424E1,1.646013384E0,1.377659678E0,3.288385620E2,4.000000000E0,3.000000000E0
2.076944095E2,6.508732876E1,2.538318947E1,1.363303195E0,1.365658522E0,3.322083130E2,4.000000000E0,3.000000000E0
2.086926449E2,6.508734085E1,2.538317548E1,1.650368132E0,1.366972804E0,3.338221130E2,4.000000000E0,3.000000000E0
2.097023268E2,6.508735104E1,2.538316048E1,1.849615996E0,1.358500957E0,3.331644287E2,4.000000000E0,3.000000000E0
2.106920992E2,6.508736611E1,2.538313384E1,2.540402622E0,1.412321925E0,3.313730774E2,4.000000000E0,3.000000000E0
2.117061990E2,6.508738058E1,2.538311678E1,2.535836959E0,1.435276270E0,3.333397827E2,4.000000000E0,3.000000000E0
2.127098642E2,6.508739066E1,2.538310397E1,2.410252804E0,1.418701649E0,3.341521912E2,4.000000000E0,3.000000000E0
2.137072320E2,6.508740357E1,2.538308870E1,2.124043615E0,1.423769832E0,3.369855652E2,4.000000000E0,3.000000000E0
2.147061627E2,6.508741155E1,2.538308247E1,2.081911399E0,1.373369932E0,3.347953186E2,4.000000000E0,3.000000000E0
2.156962684E2,6.508742197E1,2.538305910E1,1.469619199E0,1.380798340E0,3.276768799E2,4.000000000E0,3.000000000E0
2.167025012E2,6.508743577E1,2.538303491E1,1.774274664E0,1.416626215E0,3.284038391E2,4.000000000E0,3.000000000E0
2.176851278E2,6.508744690E1,2.538300142E1,1.895842533E0,1.462325454E0,3.288042603E2,4.000000000E0,3.000000000E0
2.186889554E2,6.508746199E1,2.538297490E1,1.980818732E0,1.509587646E0,3.292468567E2,4.000000000E0,3.000000000E0
2.196988748E2,6.508747549E1,2.538295161E1,1.757865640E0,1.522698402E0,3.312685547E2,4.000000000E0,3.000000000E0
2.206856689E2,6.508748104E1,2.538294027E1,1.396595083E0,1.368341804E0,3.315646973E2,4.000000000E0,3.000000000E0
2.216948298E2,6.508748740E1,2.538292745E1,1.641385893E0,1.296728730E0,3.302396851E2,4.000000000E0,3.000000000E0
2.226991685E2,6.508749635E1,2.538291366E1,1.701703635E0,1.259677291E0,3.281464539E2,4.000000000E0,3.000000000E0
2.237078417E2,6.508750485E1,2.538289956E1,1.529671165E0,1.207494617E0,3.270477600E2,4.000000000E0,3.000000000E0
2.247097656E2,6.508751380E1,2.538289006E1,1.739520400E0,1.229676604E0,3.404147339E2,4.000000000E0,3.000000000E0
2.257082022E2,6.508752604E1,2.538287398E1,1.559721465E0,1.237593293E0,3.367292786E2,4.000000000E0,3.000000000E0
2.266974924E2,6.508753591E1,2.538286651E1,1.488923081E0,1.200724006E0,3.368810425E2,4.000000000E0,3.000000000E0
2.277050358E2,6.508754670E1,2.538285629E1,1.473666497E0,1.202387094E0,3.560033264E2,4.000000000E0,3.000000000E0
2.287029208E2,6.508756224E1,2.538286171E1,1.453935012E0,1.237109184E0,3.537055664E2,4.000000000E0,3.000000000E0
2.297096178E2,6.508757426E1,2.538286504E1,1.132914489E0,1.220484853E0,3.592552490E2,4.000000000E0,3.000000000E0
2.306934790E2,6.508758321E1,2.538286806E1,1.155772065E0,1.196100593E0,3.506164246E2,4.000000000E0,3.000000000E0
2.317134540E2,6.508759545E1,2.538284941E1,1.444756110E0,1.227920294E0,3.388820801E2,4.000000000E0,3.000000000E0
2.326915843E2,6.508760722E1,2.538283640E1,1.596944828E0,1.243630409E0,3.336893921E2,4.000000000E0,3.000000000E0
2.336898315E2,6.508762010E1,2.538282240E1,1.724408649E0,1.266093135E0,3.382453003E2,4.000000000E0,3.000000000E0
2.347050827E2,6.508763326E1,2.538281521E1,1.849238986E0,1.281689286E0,3.456518860E2,4.000000000E0,3.000000000E0
2.357086259E2,6.508765528E1,2.538282500E1,3.353076095E0,1.377907515E0,3.597070618E2,4.000000000E0,3.000000000E0
2.366925177E2,6.508767238E1,2.538283646E1,3.447309219E0,1.429159999E0,1.200221062E1,4.000000000E0,3.000000000E0
2.376931028E2,6.508768824E1,2.538285173E1,3.202345175E0,1.463663459E0,2.010857391E1,4.000000000E0,3.000000000E0
2.386968706E2,6.508769863E1,2.538287137E1,3.191504826E0,1.459325910E0,3.170403481E1,4.000000000E0,3.000000000E0
2.396923615E2,6.508770765E1,2.538289003E1,3.467317427E0,1.447075486E0,4.011496735E1,4.000000000E0,3.000000000E0
2.406978000E2,6.508771259E1,2.538292982E1,3.032015319E0,1.482777238E0,5.930320740E1,4.000000000E0,3.000000000E0
2.416900571E2,6.508771831E1,2.538296736E1,3.051649527E0,1.503556728E0,5.915417099E1,4.000000000E0,3.000000000E0
2.427073132E2,6.508772441E1,2.538299812E1,3.104031691E0,1.507730722E0,5.444424438E1,4.000000000E0,3.000000000E0
2.436889454E2,6.508773201E1,2.538303482E1,3.078017760E0,1.533438325E0,5.557963562E1,4.000000000E0,3.000000000E0
2.447085566E2,6.508773960E1,2.538306935E1,3.024201489E0,1.551366210E0,5.955714417E1,4.000000000E0,3.000000000E0
2.457034866E2,6.508774790E1,2.538310090E1,3.054740135E0,1.562757492E0,5.696722794E1,4.000000000E0,3.000000000E0
2.466943505E2,6.508775639E1,2.538312539E1,3.154327437E0,1.550581336E0,4.708832932E1,4.000000000E0,3.000000000E0
2.476921734E2,6.508776606E1,2.538314268E1,3.124168265E0,1.528456211E0,3.731060410E1,4.000000000E0,3.000000000E0
2.487111689E2,6.508777666E1,2.538316143E1,3.130868635E0,1.517397046E0,4.090028381E1,4.000000000E0,3.000000000E0
2.496994961E2,6.508778553E1,2.538318162E1,3.116781901E0,1.493096828E0,3.206518555E1,4.000000000E0,3.000000000E0
2.507057771E2,6.508779208E1,2.538319204E1,3.050127765E0,1.430073142E0,3.902705765E1,4.000000000E0,3.000000000E0
2.516957682E2,6.508779823E1,2.538320263E1,2.964487265E0,1.378846526E0,3.094816017E1,4.000000000E0,3.000000000E0
2.527062278E2,6.508780859E1,2.538322408E1,2.936574427E0,1.384012938E0,3.161552429E1,4.000000000E0,3.000000000E0
2.536945037E2,6.508781865E1,2.538323394E1,2.912434517E0,1.361131549E0,3.255722809E1,4.000000000E0,3.000000000E0
2.546935622E2,6.508782888E1,2.538324119E1,3.208209757E0,1.342608452E0,2.646533203E1,4.000000000E0,3.000000000E0
2.557030795E2,6.508784111E1,2.538325134E1,3.020501569E0,1.347100496E0,2.455499649E1,4.000000000E0,3.000000000E0
2.567128853E2,6.508785131E1,2.538326771E1,3.006554439E0,1.342764378E0,2.284032249E1,6.000000000E0,3.000000000E0
2.576900487E2,6.508786125E1,2.538327643E1,3.142926678E0,1.324994326E0,2.521048355E1,4.000000000E0,3.000000000E0
2.587110042E2,6.508787006E1,2.538329004E1,3.068862733E0,1.305627465E0,2.523118591E1,4.000000000E0,3.000000000E0
2.596937836E2,6.508787750E1,2.538330376E1,3.076314925E0,1.277791739E0,2.778145981E1,4.000000000E0,3.000000000E0
2.606980367E2,6.508788622E1,2.538331369E1,3.163805832E0,1.256718397E0,2.584295464E1,4.000000000E0,3.000000000E0
2.617049130E2,6.508789583E1,2.538332231E1,3.171583008E0,1.239864349E0,2.336875916E1,6.000000000E0,3.000000000E0
2.627006610E2,6.508790263E1,2.538332748E1,3.145949260E0,1.201930523E0,2.089448357E1,6.000000000E0,3.000000000E0
2.637010652E2,6.508791143E1,2.538332994E1,3.068196971E0,1.181360006E0,1.746266174E1,4.000000000E0,3.000000000E0
2.647169840E2,6.508792274E1,2.538333431E1,3.042856519E0,1.183156133E0,1.827533150E1,4.000000000E0,3.000000000E0
2.657110914E2,6.508793412E1,2.538334351E1,3.542900311E0,1.192152262E0,2.149656487E1,4.000000000E0,3.000000000E0
2.666966857E2,6.508794631E1,2.538335544E1,3.520528591E0,1.218132257E0,2.347397995E1,4.000000000E0,3.000000000E0
2.677055481E2,6.508796075E1,2.538337804E1,3.477088385E0,1.273880839E0,3.080635262E1,4.000000000E0,3.000000000E0
2.687056575E2,6.508797038E1,2.538340081E1,3.567569174E0,1.289858937E0,3.839241791E1,4.000000000E0,3.000000000E0
2.697043030E2,6.508797603E1,2.538342575E1,3.562880196E0,1.293880582E0,4.638666916E1,4.000000000E0,3.000000000E0
2.707016127E2,6.508798351E1,2.538345220E1,3.335550060E0,1.307750463E0,5.256190491E1,4.000000000E0,3.000000000E0
2.717036598E2,6.508798794E1,2.538347707E1,3.117337951E0,1.306219339E0,4.826579666E1,4.000000000E0,3.000000000E0
2.727124912E2,6.508799817E1,2.538348425E1,3.165133400E0,1.294815779E0,3.690062714E1,4.000000000E0,3.000000000E0
2.736941460E2,6.508800669E1,2.538349654E1,3.155012319E0,1.276286483E0,2.721778488E1,4.000000000E0,3.000000000E0
2.747092607E2,6.508801516E1,2.538350979E1,3.206159633E0,1.254230738E0,3.093451500E1,4.000000000E0,3.000000000E0
2.757032723E2,6.508802386E1,2.538351121E1,2.882077196E0,1.225303411E0,2.762770462E1,4.000000000E0,3.000000000E0
2.766912973E2,6.508803381E1,2.538352149E1,2.809448880E0,1.216647625E0,2.436060905E1,4.000000000E0,3.000000000E0
2.776945309E2,6.508804206E1,2.538352310E1,2.624020818E0,1.185779572E0,2.064784241E1,4.000000000E0,3.000000000E0
2.786867231E2,6.508805025E1,2.538353051E1,2.905944324E0,1.164826155E0,2.163645363E1,4.000000000E0,3.000000000E0
2.796914271E2,6.508805786E1,2.538354084E1,2.883313519E0,1.144604921E0,2.270970726E1,4.000000000E0,3.000000000E0
2.807029470E2,6.508806678E1,2.538355044E1,2.854033718E0,1.133177519E0,1.999355507E1,4.000000000E0,3.000000000E0
2.816898732E2,6.508807587E1,2.538355564E1,2.877011276E0,1.123116970E0,2.259108925E1,4.000000000E0,3.000000000E0
2.826979162E2,6.508808569E1,2.538357314E1,2.912834165E0,1.139715791E0,3.095753860E1,4.000000000E0,3.000000000E0
2.836930856E2,6.508809527E1,2.538359056E1,2.886927421E0,1.149487257E0,3.508177567E1,4.000000000E0,3.000000000E0
2.847228910E2,6.508810117E1,2.538360338E1,2.852869955E0,1.126971245E0,4.003082657E1,4.000000000E0,3.000000000E0
2.857158031E2,6.508810761E1,2.538362558E1,2.907186495E0,1.132792473E0,5.462830353E1,4.000000000E0,3.000000000E0
2.867079713E2,6.508811235E1,2.538365053E1,2.994503944E0,1.142857790E0,5.858982849E1,4.000000000E0,3.000000000E0
2.877034623E2,6.508811631E1,2.538367371E1,3.068755388E0,1.142196417E0,5.232048416E1,4.000000000E0,3.000000000E0
2.886962629E2,6.508811886E1,2.538369505E1,3.157367940E0,1.128447056E0,6.572962189E1,4.000000000E0,3.000000000E0
2.896874861E2,6.508812356E1,2.538371105E1,3.094561399E0,1.107705712E0,4.455723953E1,4.000000000E0,3.000000000E0
2.906989518E2,6.508813122E1,2.538372916E1,3.066099046E0,1.115470171E0,4.238925171E1,4.000000000E0,3.000000000E0
2.917031202E2,6.508813981E1,2.538374714E1,3.017706429E0,1.121155381E0,4.501340485E1,4.000000000E0,3.000000000E0
2.927062273E2,6.508814842E1,2.538376550E1,2.989501584E0,1.130191326E0,4.122582245E1,4.000000000E0,3.000000000E0
2.936930073E2,6.508815751E1,2.538378838E1,2.958409760E0,1.155166149E0,3.608692169E1,4.000000000E0,3.000000000E0
2.946878058E2,6.508816713E1,2.538380734E1,2.941413558E0,1.171151042E0,3.777441788E1,4.000000000E0,3.000000000E0
2.957049898E2,6.508817528E1,2.538382770E1,2.848267885E0,1.176732302E0,3.965482330E1,4.000000000E0,3.000000000E0
2.967070544E2,6.508818330E1,2.538383692E1,2.761666153E0,1.160098076E0,2.105168915E1,4.000000000E0,3.000000000E0
2.977045963E2,6.508819529E1,2.538384645E1,2.864360762E0,1.176675558E0,2.296336174E1,4.000000000E0,3.000000000E0
2.987064716E2,6.508820428E1,2.538385534E1,2.892665388E0,1.162984133E0,2.504883575E1,4.000000000E0,3.000000000E0
2.997107299E2,6.508820863E1,2.538385327E1,2.770520547E0,1.106721520E0,2.250871468E1,4.000000000E0,3.000000000E0
3.007133477E2,6.508821301E1,2.538384772E1,2.850866129E0,1.057917595E0,1.937229538E1,4.000000000E0,3.000000000E0
3.017023647E2,6.508821900E1,2.538385094E1,2.967941505E0,1.020163536E0,2.173392677E1,4.000000000E0,3.000000000E0
3.027229542E2,6.508821878E1,2.538384976E1,2.189007632E0,8.593819141E-1,2.173392677E1,4.000000000E0,3.000000000E0
